Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Plod2,0,0.625492,0.126593,-1.13031,-0.786404,-2.58885,-2.43568,-1.82379,-2.29489,-3.64865,-3.64865,-3,,,
Mad2l1,0,-1.26208,-2.88108,-3.07674,-3.20666,-3.23074,-3.38817,-3.51167,-3.61608,-3.16721,-3.61608,-3,,,
Sdad1,0,-1.20568,-2.45042,-3.13446,-3.26465,-3.39229,-3.11755,-3.61439,-3.19717,-2.88997,-3.61439,-3,,,
Hat1,0,-1.35751,-1.81752,-2.35412,-2.62485,-3.3245,-3.22275,-3.58105,-3.33282,-3.3111,-3.58105,-3,,,
Nasp,0,-0.94471,-1.73243,-2.01481,-2.63732,-3.1684,-3.14203,-3.16475,-3.32051,-3.56156,-3.56156,-3,,,
Hmgcs1,0,0.4583,-0.920212,-2.31912,-2.30128,-3.55042,-2.65422,-2.35067,-2.54877,-3.05762,-3.55042,-3,,,
Hprt1,0,-0.752413,-1.32,-1.8762,-2.5873,-3.5258,-3.22787,-3.25469,-2.96769,-3.44613,-3.5258,-3,,,
Cep41,0,-0.305746,-1.37768,-1.56478,-2.06569,-3.30005,-2.27391,-3.48198,-2.42853,-3.19611,-3.48198,-3,,,
Arid4a,0,0.0126476,-1.18515,-1.37294,-1.98614,-3.47994,-2.20811,-2.18951,-1.40454,-1.93764,-3.47994,-3,,,
Ltv1,0,-0.260408,-1.39231,-1.20659,-1.40931,-2.57834,-1.83027,-2.52878,-2.55893,-3.47947,-3.47947,-3,,,
Utp18,0,-1.2124,-1.94471,-1.89002,-2.43848,-3.47423,-1.69018,-2.11019,-2.38462,-2.1571,-3.47423,-3,,,
Cdr2l,0,-0.772652,-1.47284,-1.62395,-2.39744,-2.4975,-2.6359,-3.47153,-3.12494,-3.02166,-3.47153,-3,,,
Msmo1,0,0.0850582,-0.94574,-2.42687,-2.23978,-3.46311,-2.59487,-2.09649,-2.32205,-2.53238,-3.46311,-3,,,
S100a11,0,1.25702,1.50113,1.64847,0.748381,0.520332,-0.231094,-1.55785,-3.45458,-1.66692,-3.45458,-3,,,
Ttf2,0,-1.09419,-1.86792,-2.12255,-2.48152,-2.84411,-2.91574,-3.17668,-3.11584,-3.41464,-3.41464,-3,,,
Krt76,0,-0.522413,0.685268,-2.1066,0.908375,-0.727297,-3.41144,-2.8578,-2.19038,-2.50678,-3.41144,-3,,,
Cpne8,0,-1.24432,-2.01693,-2.15148,-2.75655,-3.26848,-2.67543,-2.8639,-2.74452,-3.41121,-3.41121,-3,,,
Scd1;Scd3,0,1.1105,-1.12008,-2.36871,-2.43001,-3.4016,-2.6797,-3.2141,-2.52616,-2.90399,-3.4016,-3,,,
Fdft1,0,0.259378,-0.478205,-2.20402,-2.235,-3.38179,-2.74873,-2.32881,-2.80925,-2.5696,-3.38179,-3,,,
Prim1,0,-1.46736,-2.49676,-2.65978,-3.19969,-3.19257,-3.31487,-3.12606,-2.94716,-3.36136,-3.36136,-3,,,
Dhfr,0,-0.848492,-1.88296,-1.92939,-2.74439,-2.85952,-3.31204,-3.28398,-3.26415,-3.14525,-3.31204,-3,,,
Cd1d2;Cd1d1,0,-0.686308,-1.30819,-1.47976,-2.70835,-2.2864,-2.90893,-3.281,-3.16224,-2.64971,-3.281,-3,,,
Ybx3,0,-0.741926,-1.57416,-1.95333,-2.32951,-2.49476,-2.61424,-2.59457,-2.66132,-3.27708,-3.27708,-3,,,
Hmgcr,0,-0.298656,-1.49712,-2.57153,-2.35277,-3.26461,-2.45287,-1.7102,-2.18071,-2.65483,-3.26461,-3,,,
Npm3,0,-0.646906,-1.56968,-2.13169,-2.36819,-3.10554,-2.7756,-2.71631,-2.5587,-3.26272,-3.26272,-3,,,
Nap1l1,0,-0.765554,-1.51175,-1.9474,-2.29426,-3.08011,-2.82731,-2.80763,-2.84974,-3.26167,-3.26167,-3,,,
Rcc2,0,-0.955397,-1.78864,-1.9029,-2.57757,-2.63582,-2.78939,-3.03617,-3.11164,-3.25025,-3.25025,-3,,,
Hist1h1a,0,-0.780764,-1.2377,-1.28838,-1.50064,-1.76929,-2.28142,-2.89615,-3.24413,-3.13139,-3.24413,-3,,,
Hip1,0,-0.840757,-1.75598,-2.04152,-2.16369,-3.00783,-2.60727,-2.78067,-2.86602,-3.22648,-3.22648,-3,,,
A2mp,0,-0.0117283,-0.38607,-1.11507,-1.55757,-2.37467,-2.64363,-2.48926,-3.21228,-3.02974,-3.21228,-3,,,
Abracl,0,-1.05276,-0.828899,-0.861296,-1.48865,-1.84768,-2.45414,-2.86269,-2.99568,-3.20575,-3.20575,-3,,,
Cxadr,0,-1.48125,-2.05309,-2.29496,-2.24668,-2.61279,-2.85546,-3.18273,-3.1528,-3.15997,-3.18273,-3,,,
Rangap1,0,-1.39261,-2.06329,-2.19143,-2.50838,-2.83877,-2.85011,-3.03312,-3.18255,-2.75432,-3.18255,-3,,,
Ak6,0,-1.07066,-1.81902,-2.13484,-2.13816,-3.14086,-3.10719,-2.6579,-2.82852,-3.17908,-3.17908,-3,,,
Kif15,0,-1.15974,-2.52407,-2.66406,-2.73784,-3.04177,-2.94115,-2.96741,-3.17464,-3.01818,-3.17464,-3,,,
Arhgap18,0,-0.397833,-1.54571,-1.80367,-2.00243,-2.51721,-2.61399,-2.62637,-2.73937,-3.16608,-3.16608,-3,,,
Baiap2,0,-0.753632,-1.40695,-1.97454,-2.1172,-2.75088,-2.58603,-2.77429,-3.0598,-3.15791,-3.15791,-3,,,
Ncald,0,-0.899277,-1.39556,-1.76595,-2.06034,-2.28095,-2.68585,-2.58099,-2.73596,-3.14304,-3.14304,-3,,,
Nob1,0,-0.820726,-1.79384,-2.64307,-2.47938,-3.04992,-2.70993,-2.84071,-2.91721,-3.13751,-3.13751,-3,,,
