NAME	TITLE	SCORE	
Sorbs1		1.7336241	
Oxct1		1.7231227	
Tnf		1.7219634	
Plk3		1.7208309	
Hsd17b2		1.7113693	
Irf5		1.709017	
Nckap1l		1.7076153	
Renbp		1.7071066	
Gsto1		1.700536	
Rap2b		1.6894761	
Havcr2		1.6888891	
Lgals1		1.684438	
Pard6g		1.6803435	
Mertk		1.6764268	
Lcp2		1.6759064	
Pygl		1.6727543	
Fcgr4		1.6721468	
Il1rl2		1.6718106	
Dse		1.6699294	
Igfbp2		1.6675715	
Pik3cb		1.6635915	
Soat1		1.6629149	
Rab11fip5		1.6602359	
Duox2		1.6547197	
Bmx		1.6543733	
Gnai1		1.6537533	
Arhgap9		1.6520544	
Sftpa1		1.6435149	
Smpdl3b		1.6361272	
Def6		1.6292948	
Msn		1.6279895	
Fam57a		1.6255795	
Maf		1.624039	
Tubb2b		1.6210725	
Fmnl1		1.6209906	
Ust		1.6204607	
Cebpb		1.6204181	
Trex2		1.6203581	
Ifitm1		1.618767	
Hk2		1.6170436	
Dpep2		1.6146535	
Slc39a8		1.6071583	
Pik3ap1		1.6055807	
Selplg		1.6037126	
Cfp		1.5994794	
Dst		1.5957501	
Lrrc28		1.5949067	
Plekhg6		1.5931014	
Tacstd2		1.574537	
Vat1		1.5738373	
Mmp19		1.572905	
Itgb8		1.5726322	
Lgalsl		1.5705469	
Apbb1ip		1.5674145	
Tnfrsf1b		1.5660627	
Fscn1		1.5639637	
Ugt1a5		1.5620928	
Itga5		1.5600449	
Lgals3		1.5591502	
Klf4		1.5554656	
St6galnac4		1.5510151	
Hsd17b7		1.5480362	
Procr		1.5476993	
AA467197		1.5441425	
Dnajb1		1.5422175	
Tmem64		1.5402286	
Fam111a		1.5401915	
Clca3a1		1.5393333	
Mitf		1.5377295	
Lgmn		1.5337903	
Syk		1.5314842	
Hspb1		1.5298693	
Aim2		1.5287191	
Fads2		1.5274612	
Rapgefl1		1.5271381	
Plxdc1		1.5256485	
Gltp		1.522222	
Lrp8		1.520462	
Dock2		1.5182521	
Gpr137b		1.518214	
Stk39		1.5109128	
Fam83d		1.5100178	
Mrc1		1.5052329	
Amotl1		1.5049698	
Lipa		1.5036863	
C3		1.5019832	
Dhrs1		1.5007489	
Urah		1.5003371	
Lat2		1.4990667	
Gpr65		1.497634	
Cds1		1.4945688	
5031439G07Rik		1.4933461	
Piga		1.4926237	
Gla		1.4916761	
Crybg1		1.4907147	
Emb		1.4879051	
Slc34a2		1.4821254	
Sla		1.4797239	
Hcls1		1.4795549	
Ly6g6c		1.4792905	
Fxyd5		1.4756078	
Apoe		1.4751174	
Apobr		1.4713583	
Lpxn		1.4634624	
Ctsz		1.4627197	
Dram1		1.4579984	
Ermp1		1.4575739	
Ndufa4l2		1.454469	
Lamp3		1.4534001	
Jag2		1.451965	
Pycard		1.4494994	
Alox5ap		1.44503	
Alox15		1.4443809	
Tgfbi		1.4433258	
Hist1h3d		1.440301	
Gusb		1.4352667	
Hr		1.4331397	
Layn		1.4316645	
Plin2		1.4312291	
Irf1		1.4293582	
Smim3		1.419149	
Psap		1.4149337	
Tmem132a		1.4149005	
Acot1		1.4132419	
Ddhd1		1.4118863	
Atg9b		1.4076309	
Sirpb1c		1.4071913	
Pik3cd		1.4064457	
Pmp22		1.399687	
Enpep		1.39625	
Clic3		1.3944039	
Metrnl		1.3942698	
Cd302		1.3925343	
Cited2		1.3911103	
Pltp		1.3909838	
Rnasel		1.3850052	
St3gal6		1.3824984	
Sh2b2		1.3821568	
Sftpc		1.3797446	
Znrf3		1.375135	
Pkp3		1.3748592	
Ppp1r18		1.3715478	
Scnn1b		1.370491	
Rab8b		1.3694084	
Creg1		1.3688735	
Plekhn1		1.3681842	
Eps8l2		1.3672236	
Acp5		1.3655465	
Emp3		1.3649117	
Slc16a6		1.3567716	
Tmem37		1.3556983	
Xdh		1.3541764	
Slc35e4		1.3491964	
Fetub		1.3457589	
Ppp1r15a		1.3448638	
Slfn2		1.3419832	
Galnt18		1.3405018	
Coro1a		1.3403804	
Rab32		1.3365437	
Cmtm3		1.3365437	
D16Ertd472e		1.3357589	
Sdc3		1.3347453	
Ubtd1		1.3315897	
Hilpda		1.3304911	
AI661453		1.3295945	
Grn		1.32804	
Tmem50b		1.3190608	
Slc9a3r1		1.3084183	
Hist1h1a		1.3037757	
Dach1		1.3008333	
1-Mar		1.3002001	
Ramp3		1.2999384	
Nkx2-1		1.2997915	
Hebp1		1.2985533	
Ankrd22		1.2972705	
Plch2		1.2937454	
Jup		1.2927142	
