NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
DESCARTES_ORGANOGENESIS_RADIAL_GLIA	24		Rejected!	
DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR	95	24		
DESCARTES_ORGANOGENESIS_SENSORY_NEURONS	131	23		
DESCARTES_ORGANOGENESIS_STROMAL_CELLS	226	47		
DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	644	217		
TABULA_MURIS_SENISTRACHEA_SMOOTH_MUSCLE_CELL_OF_TRACHEA_AGEING	22		Rejected!	
TABULA_MURIS_SENIS_AORTA_AORTIC_ENDOTHELIAL_CELL_AGEING	302	104		
TABULA_MURIS_SENIS_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	696	251		
TABULA_MURIS_SENIS_AORTA_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING	125	50		
TABULA_MURIS_SENIS_BLADDER_BLADDER_CELL_AGEING	312	114		
TABULA_MURIS_SENIS_BLADDER_BLADDER_UROTHELIAL_CELL_AGEING	156	68		
TABULA_MURIS_SENIS_BLADDER_ENDOTHELIAL_CELL_AGEING	409	161		
TABULA_MURIS_SENIS_BLADDER_LEUKOCYTE_AGEING	15		Rejected!	
TABULA_MURIS_SENIS_BRAIN_MYELOID_MACROPHAGE_AGEING	50		Rejected!	
TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	330	105		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	458	158		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_BRAIN_PERICYTE_AGEING	747	229		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	370	108		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_INTERNEURON_AGEING	54		Rejected!	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	947	287		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING	1102	331		
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_PRECURSOR_CELL_AGEING	431	130		
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_B_CELL_AGEING	292	121		
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	209	74		
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING	1031	375		
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MYELOID_CELL_AGEING	228	91		
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_T_CELL_AGEING	89	35		
TABULA_MURIS_SENIS_DIAPHRAGM_B_CELL_AGEING	14		Rejected!	
TABULA_MURIS_SENIS_DIAPHRAGM_ENDOTHELIAL_CELL_AGEING	26		Rejected!	
TABULA_MURIS_SENIS_DIAPHRAGM_MACROPHAGE_AGEING	26		Rejected!	
TABULA_MURIS_SENIS_DIAPHRAGM_MESENCHYMAL_STEM_CELL_AGEING	366	87		
TABULA_MURIS_SENIS_DIAPHRAGM_SKELETAL_MUSCLE_SATELLITE_CELL_AGEING	246	48		
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_B_CELL_AGEING	91	28		
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	1051	342		
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING	694	231		
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_MYELOID_CELL_AGEING	310	105		
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_T_CELL_AGEING	18		Rejected!	
TABULA_MURIS_SENIS_HEART_AND_AORTA_CARDIOMYOCYTE_AGEING	113	19		
TABULA_MURIS_SENIS_HEART_AND_AORTA_ENDOCARDIAL_CELL_AGEING	40		Rejected!	
TABULA_MURIS_SENIS_HEART_AND_AORTA_ENDOTHELIAL_CELL_OF_CORONARY_ARTERY_AGEING	246	98		
TABULA_MURIS_SENIS_HEART_AND_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	313	96		
TABULA_MURIS_SENIS_HEART_AND_AORTA_LEUKOCYTE_AGEING	129	45		
TABULA_MURIS_SENIS_HEART_AND_AORTA_SMOOTH_MUSCLE_CELL_AGEING	55	25		
TABULA_MURIS_SENIS_HEART_ATRIAL_MYOCYTE_AGEING	135	49		
TABULA_MURIS_SENIS_HEART_ENDOCARDIAL_CELL_AGEING	52	20		
TABULA_MURIS_SENIS_HEART_ENDOTHELIAL_CELL_OF_CORONARY_ARTERY_AGEING	132	49		
TABULA_MURIS_SENIS_HEART_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	231	88		
TABULA_MURIS_SENIS_HEART_MONOCYTE_AGEING	139	48		
TABULA_MURIS_SENIS_HEART_T_CELL_AGEING	12		Rejected!	
TABULA_MURIS_SENIS_HEART_VALVE_CELL_AGEING	118	42		
TABULA_MURIS_SENIS_HEART_VENTRICULAR_MYOCYTE_AGEING	115	45		
TABULA_MURIS_SENIS_KIDNEY_BRUSH_CELL_AGEING	62	18		
TABULA_MURIS_SENIS_KIDNEY_EPITHELIAL_CELL_OF_PROXIMAL_TUBULE_AGEING	393	103		
TABULA_MURIS_SENIS_KIDNEY_FENESTRATED_CELL_AGEING	81	33		
TABULA_MURIS_SENIS_KIDNEY_FIBROBLAST_AGEING	38		Rejected!	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_COLLECTING_DUCT_EPITHELIAL_CELL_AGEING	18		Rejected!	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_COLLECTING_DUCT_PRINCIPAL_CELL_AGEING	380	135		
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_CORTEX_ARTERY_CELL_AGEING	32		Rejected!	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_DISTAL_CONVOLUTED_TUBULE_EPITHELIAL_CELL_AGEING	109	31		
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_LOOP_OF_HENLE_ASCENDING_LIMB_EPITHELIAL_CELL_AGEING	6		Rejected!	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_LOOP_OF_HENLE_THICK_ASCENDING_LIMB_EPITHELIAL_CELL_AGEING	220	74		
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_MESANGIAL_CELL_AGEING	25	17		
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_PROXIMAL_CONVOLUTED_TUBULE_EPITHELIAL_CELL_AGEING	182	55		
TABULA_MURIS_SENIS_KIDNEY_MACROPHAGE_AGEING	117	54		
TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	196	72		
TABULA_MURIS_SENIS_KIDNEY_T_CELL_AGEING	61	20		
TABULA_MURIS_SENIS_LARGE_INTESTINE_BRUSH_CELL_OF_EPITHELIUM_PROPER_OF_LARGE_INTESTINE_AGEING	20		Rejected!	
TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING	1183	355		
TABULA_MURIS_SENIS_LARGE_INTESTINE_INTESTINAL_CRYPT_STEM_CELL_AGEING	382	103		
TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING	803	255		
TABULA_MURIS_SENIS_LARGE_INTESTINE_SECRETORY_CELL_AGEING	715	251		
TABULA_MURIS_SENIS_LIMB_MUSCLE_B_CELL_AGEING	219	70		
TABULA_MURIS_SENIS_LIMB_MUSCLE_ENDOTHELIAL_CELL_AGEING	139	50		
TABULA_MURIS_SENIS_LIMB_MUSCLE_MACROPHAGE_AGEING	121	38		
TABULA_MURIS_SENIS_LIMB_MUSCLE_MESENCHYMAL_STEM_CELL_AGEING	181	75		
TABULA_MURIS_SENIS_LIMB_MUSCLE_SCHWANN_CELL_AGEING	11		Rejected!	
TABULA_MURIS_SENIS_LIMB_MUSCLE_SKELETAL_MUSCLE_SATELLITE_CELL_AGEING	116	38		
TABULA_MURIS_SENIS_LIMB_MUSCLE_SMOOTH_MUSCLE_CELL_AGEING	91	32		
TABULA_MURIS_SENIS_LIMB_MUSCLE_T_CELL_AGEING	230	83		
TABULA_MURIS_SENIS_LIVER_ENDOTHELIAL_CELL_OF_HEPATIC_SINUSOID_AGEING	410	129		
TABULA_MURIS_SENIS_LIVER_HEPATOCYTE_AGEING	138	52		
TABULA_MURIS_SENIS_LIVER_MATURE_NK_T_CELL_AGEING	114	38		
TABULA_MURIS_SENIS_LIVER_MYELOID_LEUKOCYTE_AGEING	43	16		
TABULA_MURIS_SENIS_LIVER_NK_CELL_AGEING	288	80		
TABULA_MURIS_SENIS_LUNG_ADVENTITIAL_CELL_AGEING	215	68		
TABULA_MURIS_SENIS_LUNG_ALVEOLAR_MACROPHAGE_AGEING	159	78		
TABULA_MURIS_SENIS_LUNG_BRONCHIAL_SMOOTH_MUSCLE_CELL_AGEING	149	56		
TABULA_MURIS_SENIS_LUNG_B_CELL_AGEING	83	34		
TABULA_MURIS_SENIS_LUNG_CD4_POSITIVE_ALPHA_BETA_T_CELL_AGEING	138	52		
TABULA_MURIS_SENIS_LUNG_CD8_POSITIVE_ALPHA_BETA_T_CELL_AGEING	33		Rejected!	
TABULA_MURIS_SENIS_LUNG_CLASSICAL_MONOCYTE_AGEING	422	86		
TABULA_MURIS_SENIS_LUNG_ENDOTHELIAL_CELL_OF_LYMPHATIC_VESSEL_AGEING	9		Rejected!	
TABULA_MURIS_SENIS_LUNG_FIBROBLAST_OF_LUNG_AGEING	211	94		
TABULA_MURIS_SENIS_LUNG_INTERMEDIATE_MONOCYTE_AGEING	395	102		
TABULA_MURIS_SENIS_LUNG_MATURE_NK_T_CELL_AGEING	16		Rejected!	
TABULA_MURIS_SENIS_LUNG_MYELOID_DENDRITIC_CELL_AGEING	7		Rejected!	
TABULA_MURIS_SENIS_LUNG_NEUTROPHIL_AGEING	17		Rejected!	
TABULA_MURIS_SENIS_LUNG_NK_CELL_AGEING	65	15		
TABULA_MURIS_SENIS_LUNG_NON_CLASSICAL_MONOCYTE_AGEING	41	18		
TABULA_MURIS_SENIS_LUNG_PULMONARY_INTERSTITIAL_FIBROBLAST_AGEING	19		Rejected!	
TABULA_MURIS_SENIS_LUNG_SMOOTH_MUSCLE_CELL_OF_THE_PULMONARY_ARTERY_AGEING	10		Rejected!	
TABULA_MURIS_SENIS_LUNG_TYPE_II_PNEUMOCYTE_AGEING	38		Rejected!	
TABULA_MURIS_SENIS_LUNG_T_CELL_AGEING	7		Rejected!	
TABULA_MURIS_SENIS_LUNG_VEIN_ENDOTHELIAL_CELL_AGEING	10		Rejected!	
TABULA_MURIS_SENIS_MAMMARY_GLAND_BASAL_CELL_AGEING	306	141		
TABULA_MURIS_SENIS_MAMMARY_GLAND_B_CELL_AGEING	298	91		
TABULA_MURIS_SENIS_MAMMARY_GLAND_ENDOTHELIAL_CELL_AGEING	531	175		
TABULA_MURIS_SENIS_MAMMARY_GLAND_LUMINAL_EPITHELIAL_CELL_OF_MAMMARY_GLAND_AGEING	332	159		
TABULA_MURIS_SENIS_MAMMARY_GLAND_MACROPHAGE_AGEING	82	36		
TABULA_MURIS_SENIS_MAMMARY_GLAND_STROMAL_CELL_AGEING	333	123		
TABULA_MURIS_SENIS_MAMMARY_GLAND_T_CELL_AGEING	513	159		
TABULA_MURIS_SENIS_MARROW_BASOPHIL_AGEING	5		Rejected!	
TABULA_MURIS_SENIS_MARROW_CD4_POSITIVE_ALPHA_BETA_T_CELL_AGEING	41		Rejected!	
TABULA_MURIS_SENIS_MARROW_EARLY_PRO_B_CELL_AGEING	5		Rejected!	
TABULA_MURIS_SENIS_MARROW_ERYTHROBLAST_AGEING	190	32		
TABULA_MURIS_SENIS_MARROW_GRANULOCYTE_AGEING	65	28		
TABULA_MURIS_SENIS_MARROW_GRANULOCYTE_MONOCYTE_PROGENITOR_CELL_AGEING	186	61		
TABULA_MURIS_SENIS_MARROW_GRANULOCYTOPOIETIC_CELL_AGEING	107	43		
TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_PRECURSOR_CELL_AGEING	103	42		
TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_STEM_CELL_AGEING	694	219		
TABULA_MURIS_SENIS_MARROW_IMMATURE_B_CELL_AGEING	238	54		
TABULA_MURIS_SENIS_MARROW_LATE_PRO_B_CELL_AGEING	250	62		
TABULA_MURIS_SENIS_MARROW_MACROPHAGE_AGEING	177	54		
TABULA_MURIS_SENIS_MARROW_MATURE_ALPHA_BETA_T_CELL_AGEING	602	169		
TABULA_MURIS_SENIS_MARROW_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_CELL_AGEING	40		Rejected!	
TABULA_MURIS_SENIS_MARROW_MONOCYTE_AGEING	54	18		
TABULA_MURIS_SENIS_MARROW_NAIVE_B_CELL_AGEING	305	87		
TABULA_MURIS_SENIS_MARROW_NAIVE_T_CELL_AGEING	47	19		
TABULA_MURIS_SENIS_MARROW_NK_CELL_AGEING	529	149		
TABULA_MURIS_SENIS_MARROW_PRECURSOR_B_CELL_AGEING	133	32		
TABULA_MURIS_SENIS_MARROW_PROERYTHROBLAST_AGEING	72	16		
TABULA_MURIS_SENIS_MARROW_PROMONOCYTE_AGEING	94	29		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_B_CELL_AGEING	74	26		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_CD4_POSITIVE_ALPHA_BETA_T_CELL_AGEING	67	30		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_CD8_POSITIVE_ALPHA_BETA_T_CELL_AGEING	19		Rejected!	
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	74	30		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_MACROPHAGE_AGEING	77	21		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING	664	226		
TABULA_MURIS_SENIS_MESENTERIC_ADIPOSE_TISSUE_MYELOID_CELL_AGEING	15		Rejected!	
TABULA_MURIS_SENIS_PANCREAS_ENDOTHELIAL_CELL_AGEING	293	88		
TABULA_MURIS_SENIS_PANCREAS_LEUKOCYTE_AGEING	47	15		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_ACINAR_CELL_AGEING	5		Rejected!	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_ALPHA_CELL_AGEING	137	43		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_BETA_CELL_AGEING	209	73		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DELTA_CELL_AGEING	199	77		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DUCTAL_CELL_AGEING	283	112		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL_AGEING	121	38		
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_STELLATE_CELL_AGEING	7		Rejected!	
TABULA_MURIS_SENIS_SKIN_BASAL_CELL_OF_EPIDERMIS_AGEING	965	303		
TABULA_MURIS_SENIS_SKIN_BULGE_KERATINOCYTE_AGEING	863	277		
TABULA_MURIS_SENIS_SKIN_EPIDERMAL_CELL_AGEING	604	225		
TABULA_MURIS_SENIS_SPLEEN_B_CELL_AGEING	101	37		
TABULA_MURIS_SENIS_SPLEEN_CD4_POSITIVE_ALPHA_BETA_T_CELL_AGEING	186	65		
TABULA_MURIS_SENIS_SPLEEN_CD8_POSITIVE_ALPHA_BETA_T_CELL_AGEING	182	55		
TABULA_MURIS_SENIS_SPLEEN_GRANULOCYTE_AGEING	225	56		
TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING	121	61		
TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_DENDRITIC_CELL_PROGENITOR_AGEING	8		Rejected!	
TABULA_MURIS_SENIS_SPLEEN_MATURE_NK_T_CELL_AGEING	123	20		
TABULA_MURIS_SENIS_SPLEEN_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_CELL_AGEING	72	21		
TABULA_MURIS_SENIS_SPLEEN_NK_CELL_AGEING	92	16		
TABULA_MURIS_SENIS_SPLEEN_PLASMA_CELL_AGEING	6		Rejected!	
TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING	1114	262		
TABULA_MURIS_SENIS_SPLEEN_T_CELL_AGEING	257	88		
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_B_CELL_AGEING	125	53		
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_ENDOTHELIAL_CELL_AGEING	170	65		
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_EPITHELIAL_CELL_AGEING	555	221		
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING	262	100		
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_MYELOID_CELL_AGEING	202	93		
TABULA_MURIS_SENIS_THYMUS_DN4_THYMOCYTE_AGEING	225	60		
TABULA_MURIS_SENIS_THYMUS_IMMATURE_T_CELL_AGEING	5		Rejected!	
TABULA_MURIS_SENIS_THYMUS_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING	76		Rejected!	
TABULA_MURIS_SENIS_THYMUS_THYMOCYTE_AGEING	672	126		
TABULA_MURIS_SENIS_TONGUE_BASAL_CELL_OF_EPIDERMIS_AGEING	148	61		
TABULA_MURIS_SENIS_TONGUE_KERATINOCYTE_AGEING	45	20		
TABULA_MURIS_SENIS_TONGUE_LANGERHANS_CELL_AGEING	20		Rejected!	
TABULA_MURIS_SENIS_TRACHEA_BASAL_EPITHELIAL_CELL_OF_TRACHEOBRONCHIAL_TREE_AGEING	22		Rejected!	
TABULA_MURIS_SENIS_TRACHEA_ENDOTHELIAL_CELL_AGEING	208	58		
TABULA_MURIS_SENIS_TRACHEA_FIBROBLAST_AGEING	116	33		
TABULA_MURIS_SENIS_TRACHEA_GRANULOCYTE_AGEING	37		Rejected!	
TABULA_MURIS_SENIS_TRACHEA_MACROPHAGE_AGEING	77	19		
TABULA_MURIS_SENIS_TRACHEA_T_CELL_AGEING	439	137		
ZHANG_UTERUS_C0_MATURATIONAL_UP	9		Rejected!	
ZHANG_UTERUS_C0_SECRETORY_STROMAL3_NPPC_HIGH_CELL	399	123		
ZHANG_UTERUS_C10_STROMAL2_RETNLG_HIGH_CELL	47	30		
ZHANG_UTERUS_C11_SMOOTH_MUSCLE_CELL	36		Rejected!	
ZHANG_UTERUS_C12_MONOCYTE	171	96		
ZHANG_UTERUS_C13_EPITHELIAL1_CELL	367	109		
ZHANG_UTERUS_C14_ENDOTHELIAL_MMRN1_HIGH_CELL	46	17		
ZHANG_UTERUS_C15_B_CELL	68	20		
ZHANG_UTERUS_C1_PROLIFERATIVE_STROMAL1_MGP_HIGH_CELL	355	101		
ZHANG_UTERUS_C1_REGENERATIVE_UP	349	124		
ZHANG_UTERUS_C2_REGENERATIVE_UP	90	32		
ZHANG_UTERUS_C2_SECRETORY_STROMAL3_RAMP3_HIGH_CELL	280	75		
ZHANG_UTERUS_C3_PROLIFERATIVE_STROMAL1_STROCXCL14_HIGH_CELL	78	22		
ZHANG_UTERUS_C4_MYOFIBROBLAST	411	151		
ZHANG_UTERUS_C5_MACROPHAGE	165	86		
ZHANG_UTERUS_C6_ENDOTHELIAL_PLVAP_HIGH_CELL	133	57		
ZHANG_UTERUS_C7_EPITHELIAL2_CELL	882	217		
ZHANG_UTERUS_C8_NK_CELL	180	47		
ZHANG_UTERUS_C9_DENDRITIC_CELL	94	43		
