NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_STEM_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_STEM_CELL_AGEING		147	0.1658328	1.2400148	0.09803922	0.20438248	1.0	888	tags=38%, list=29%, signal=51%	
TABULA_MURIS_SENIS_MARROW_MATURE_ALPHA_BETA_T_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_MATURE_ALPHA_BETA_T_CELL_AGEING		101	0.17070687	1.2303985	0.1010101	0.2120476	1.0	503	tags=24%, list=17%, signal=28%	
TABULA_MURIS_SENIS_LIVER_HEPATOCYTE_AGEING	TABULA_MURIS_SENIS_LIVER_HEPATOCYTE_AGEING		34	0.23248047	1.2189066	0.19655173	0.22148657	1.0	388	tags=26%, list=13%, signal=30%	
TABULA_MURIS_SENIS_DIAPHRAGM_SKELETAL_MUSCLE_SATELLITE_CELL_AGEING	TABULA_MURIS_SENIS_DIAPHRAGM_SKELETAL_MUSCLE_SATELLITE_CELL_AGEING		29	0.24918391	1.2164565	0.18360655	0.22247905	1.0	1006	tags=55%, list=33%, signal=82%	
ZHANG_UTERUS_C15_B_CELL	ZHANG_UTERUS_C15_B_CELL		18	0.28304854	1.1987256	0.24929178	0.23842202	1.0	380	tags=33%, list=13%, signal=38%	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_DISTAL_CONVOLUTED_TUBULE_EPITHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_KIDNEY_DISTAL_CONVOLUTED_TUBULE_EPITHELIAL_CELL_AGEING		26	0.2364331	1.1819806	0.22356495	0.25402406	1.0	402	tags=27%, list=13%, signal=31%	
TABULA_MURIS_SENIS_TRACHEA_FIBROBLAST_AGEING	TABULA_MURIS_SENIS_TRACHEA_FIBROBLAST_AGEING		33	0.2156324	1.1257266	0.27419356	0.32240835	1.0	865	tags=48%, list=28%, signal=67%	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING		188	0.1400613	1.1229253	0.20175439	0.32344067	1.0	818	tags=35%, list=27%, signal=45%	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_LOOP_OF_HENLE_THICK_ASCENDING_LIMB_EPITHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_KIDNEY_LOOP_OF_HENLE_THICK_ASCENDING_LIMB_EPITHELIAL_CELL_AGEING		60	0.1841127	1.117821	0.2931727	0.3275869	1.0	503	tags=27%, list=17%, signal=31%	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING		108	0.15606266	1.1052842	0.26881722	0.34376773	1.0	1077	tags=54%, list=35%, signal=80%	
TABULA_MURIS_SENIS_MAMMARY_GLAND_BASAL_CELL_AGEING	TABULA_MURIS_SENIS_MAMMARY_GLAND_BASAL_CELL_AGEING		109	0.14581616	1.0630031	0.35928145	0.40378737	1.0	870	tags=41%, list=29%, signal=56%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_BETA_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_BETA_CELL_AGEING		48	0.18286479	1.0445375	0.38007382	0.4278359	1.0	856	tags=42%, list=28%, signal=57%	
TABULA_MURIS_SENIS_KIDNEY_T_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_T_CELL_AGEING		20	0.24545215	1.0273625	0.38348082	0.4510406	1.0	860	tags=50%, list=28%, signal=69%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_ALPHA_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_ALPHA_CELL_AGEING		36	0.19831136	1.0254481	0.43050846	0.45002213	1.0	569	tags=28%, list=19%, signal=34%	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING		174	0.1307195	1.0205882	0.40983605	0.45455667	1.0	2169	tags=89%, list=71%, signal=291%	
DESCARTES_ORGANOGENESIS_MEGAKARYOCYTES	DESCARTES_ORGANOGENESIS_MEGAKARYOCYTES		35	0.19134806	1.0115575	0.45962733	0.4667981	1.0	626	tags=34%, list=21%, signal=43%	
TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING	TABULA_MURIS_SENIS_SPLEEN_PROERYTHROBLAST_AGEING		132	0.13461083	0.99545306	0.47435898	0.48831072	1.0	2396	tags=95%, list=79%, signal=431%	
TABULA_MURIS_SENIS_TRACHEA_T_CELL_AGEING	TABULA_MURIS_SENIS_TRACHEA_T_CELL_AGEING		68	0.15943027	0.98069984	0.44871795	0.51074266	1.0	973	tags=41%, list=32%, signal=59%	
TABULA_MURIS_SENIS_BLADDER_BLADDER_CELL_AGEING	TABULA_MURIS_SENIS_BLADDER_BLADDER_CELL_AGEING		85	0.14210233	0.9540016	0.5595855	0.5525879	1.0	1297	tags=62%, list=43%, signal=106%	
TABULA_MURIS_SENIS_SKIN_BULGE_KERATINOCYTE_AGEING	TABULA_MURIS_SENIS_SKIN_BULGE_KERATINOCYTE_AGEING		183	0.119399294	0.9462094	0.56302524	0.5606425	1.0	567	tags=24%, list=19%, signal=28%	
TABULA_MURIS_SENIS_MARROW_LATE_PRO_B_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_LATE_PRO_B_CELL_AGEING		40	0.17324424	0.9370446	0.56981134	0.5717787	1.0	1087	tags=52%, list=36%, signal=81%	
TABULA_MURIS_SENIS_THYMUS_THYMOCYTE_AGEING	TABULA_MURIS_SENIS_THYMUS_THYMOCYTE_AGEING		81	0.13691169	0.9243335	0.6183575	0.58812094	1.0	2508	tags=98%, list=83%, signal=542%	
TABULA_MURIS_SENIS_HEART_AND_AORTA_SMOOTH_MUSCLE_CELL_AGEING	TABULA_MURIS_SENIS_HEART_AND_AORTA_SMOOTH_MUSCLE_CELL_AGEING		19	0.16985157	0.7182563	0.81570995	0.8676125	1.0	820	tags=42%, list=27%, signal=57%	
