"gene_id","Mio_vs_WT_log2FoldChange","ZFRP_vs_WT_log2FoldChange","Raptor_vs_WT_log2FoldChange","WT_tpm","SETDB1_GKD_vs_WT_log2FoldChange","Nup154_GKD_vs_WT_log2FoldChange","EzGLKD_vs_wGLKD_log2FoldChange","cluster"
"FBgn0040503",9.75568592491499,7.66201720970908,8.18213971648517,0,4.00084342244663,3.27741638256198,0.961672287839705,"c1"
"FBgn0038938",9.73542842301916,-0.176280189227955,1.57409370826765,0.37716027931318,7.39602968259959,7.4874739796972,4.01880335421408,"c1"
"FBgn0061356",9.62935730368346,2.11876426617829,4.39307525208802,0.138944042769056,4.50776740986631,3.77986214070043,5.74155830790571,"c1"
"FBgn0030562",9.59803352231532,9.10581823500738,8.70901387127114,0.0496475108284458,7.96419705142471,9.52486883003466,4.42696434611522,"c1"
"FBgn0031004",9.59787456555063,-0.0122662909145463,0.272049843798807,0.0484377211162941,5.54124546741223,6.00658660644255,5.00968846878686,"c1"
"FBgn0035673",9.55919516494397,-0.537661504040598,0.395028214363074,0.305210055882462,5.14796763485669,5.36005250727535,0.50851010018381,"c1"
"FBgn0030748",9.55018028119737,3.7593387204302,4.67101867871634,0.0396296679813936,7.23841193863447,6.51817092700432,4.2521972805893,"c1"
"FBgn0033222",9.51729858857758,0.843559010637304,2.1634615985899,0.071184574616688,4.99150510583923,5.49735882094376,2.4414444903613,"c1"
"FBgn0030998",9.50375441946911,-0.351126172823849,0.65879248350172,0.0485160313603716,4.72970003613402,4.88734575170795,4.52395640929099,"c1"
"FBgn0035790",9.47446265732617,0.33340415550433,-0.0201570002872528,0,5.14387080379614,6.81579060375658,0.0879971387449378,"c1"
"FBgn0037126",9.45794301165504,6.63739033281726,2.80633910442729,0,3.074662916898,1.84321196912824,1.78446729400893,"c1"
"FBgn0030594",9.43691927064206,-0.57109100991611,0.727117870972914,0.556004704385612,8.0160927521541,7.74538695819303,5.37921818416436,"c1"
"FBgn0027556",9.40316131100302,3.96123008487385,2.9342538631499,0.554657803130437,6.69696523877763,5.84320738990289,5.02146628102962,"c1"
