"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"Wnt2",2.835,4.744,3.313,3.038,-0.137,3.77925689572987,3.55007423172335,3.2467120061622
"cora",3.764,7.237,7.23,6.678,4.255,6.88590999106988,7.13972003396963,6.57431149873719
"ths",1.015,4.604,4.07,2.815,-0.379,3.92477169278747,4.55125680117679,2.92344342627178
"Vmat",2.378,5.496,5.085,1.817,0.739,7.09915912168027,6.82590876559248,6.54888572119929
"Cyp12b2",1.457,3.318,1.662,2.854,0.474,2.71043100947135,3.28772743689427,1.97078041288609
"SK",-0.476,3.538,2.343,2.806,-0.381,2.41522753809249,2.82496174773229,2.11166475659583
"mtg",1.091,2.719,3.136,3.508,0.969,2.64149451008729,3.34367697057535,2.9294934655119
"if",2.222,5.198,4.554,4.889,2.583,4.4964271438451,4.93256913996873,4.19516140127277
"Ca-alpha1T",-0.641,2.37,0.675,2.789,-0.575,1.7113447207589,2.4792741666529,1.65945629807199
"frm",0.239,4.845,4.025,1.116,-0.217,5.40398705678369,4.85847908932487,5.31392250540185
"Rbp9",2.239,4.827,4.797,3.692,0.676,4.71713804677677,5.41393427503332,4.04163451494012
"CG11400",3.284,4.242,4.88,4.313,1.841,5.48518357487236,4.8860728326289,4.32469777008779
"CG43078",0.431,4.373,3.234,3.537,0.424,4.67418765947835,5.23413896409631,4.56337429104284
"ETHR",-0.231,2.608,2.695,1.1,-0.801,1.59957609452478,2.83148124772233,2.02245307992379
"CG3746",3.907,5.122,5.751,3.666,0.961,5.24010687846433,5.40583269747991,4.99682001712084
"Tep3",0.518,2.643,-1,1.511,-0.44,1.69588267364488,2.20458238629042,1.53905599933755
"Ktl",2.296,4.739,5.85,4.867,1.358,3.73878514754683,4.23373388109464,3.28916077389376
"blow",3.914,6.078,5.582,3.43,3.164,5.46429665913563,5.53080084445956,4.98927111427203
"Irk2",0.444,4.538,-1,0.151,-0.907,0.810338600836036,5.33888545068874,0.933814078076373
"Wnt4",1.174,5.464,3.921,3.879,-0.119,3.53009452831539,2.95558377658913,2.83142065407112
"Had2",2.573,4.086,2.439,2.15,-1,4.90042635418947,5.21738645211446,4.25667245553946
"Act42A",9.721,10.917,9.656,9.946,9.011,10.5090233069517,9.68188290665804,10.0377771877686
"CG10512",2.769,4.304,2.297,3.85,4.059,4.34779937403928,4.42106364073523,4.04785421775305
"Strn-Mlck",-0.242,2.711,1.57,2.224,-0.228,4.37666441853768,5.08161820909684,4.74833730883029
"Mec2",1.334,3.471,-1,0.21,1.792,3.30245589457796,4.66024684734582,3.73458312971383
"disco",-0.34,2.677,2.384,1.979,-0.67,2.04446078401482,2.37258318742745,1.7847402284197
"CG5346",4.889,6.203,6.171,5.27,3.807,5.38557716304418,5.2916623704823,5.18956556586233
"Ugt49B1",3.059,4.828,2.687,1.991,0.583,4.07376601955133,5.89299127714782,3.54782906004181
"Nepl21",3.133,6.828,4.304,4.204,3.118,5.97723904857886,5.45251315490992,4.55631305482557
"CngA",-0.075,2.028,0.153,1.505,-0.696,1.69500463666884,2.18920472072301,2.13528883192041
"CG11892",1.786,7.467,4.166,-0.828,3.204,6.6916947406869,10.1950896113414,6.26676086622862
"Cadps",2.02,4.305,2.642,1.952,2.407,2.39084121111609,2.65570649963013,1.62706764723485
"Tg",3.879,6.21,6.738,4.865,2.763,6.64998609993528,6.63226316598151,6.15892066166561
"Octalpha2R",-0.494,2.112,-0.069,2.33,-0.421,1.73584113419889,2.29729193037465,0.961643039772357
"Ank2",-0.904,-0.474,-0.258,-0.775,-0.96,1.56974781454245,1.87069760878151,1.83307827795306
"Nrx-1",-0.542,3.443,2.75,3.169,-0.386,2.73190857821026,3.66523531094717,2.5483680207643
"Cyp6d2",3.053,4.335,-1,4.156,2.538,4.62666948789978,4.02831046081798,3.8149679754658
"sano",0.48,3.702,1.743,3.17,1.024,3.46210692491639,3.84866082882731,2.86247212351484
"Best2",4.478,7.319,7.279,4.902,5.824,7.10981454599279,6.55130160169366,6.27905506460282
"AdamTS-A",2.777,5.813,3.347,5.271,2.806,4.82413752850502,5.26594535177174,4.8977182360539
"loh",0.677,3.439,2.729,2.821,0.449,3.35528908735288,3.17943051071082,3.08859067533738
"CG8369",4.397,5.522,7.352,1.054,1.814,6.63837152854011,5.72912504561811,5.54050949715344
