#Diffusion Coefficient in um^2/s; Linear fit performed on the 4 first points of trajectories > 6 points
#Pixel size= .17um ; Frame rate= .03sec
ROI	Trace	D(um2/s)	MSD(0)	MSE
 4	 12883	 .0238952066144453	 .00668828371932838	 .731521426409124
 5	 12889	 .00496758671763805	 .00692324192262452	 .154878190879249
 1	 12963	 .00177036969295145	 .00314013795121978	 .251879070256195
 4	 13023	 .00104721973876994	 .0134896899380972	 .00489462694465082
 2	 13206	 .00139377105682313	 .0177162424654832	 .00564319888745068
 5	 13236	 .0106930458495383	 .0109662173072398	 .818190852258148
 5	 13255	 .00954116928802143	 .0102817363613814	 .178589746979492
 1	 13290	 .00258219091782392	 .0149367125816069	 .0524287865193875
 5	 13457	 1E-05	 .0128768337599293	 .491012866445138
 5	 13476	 5.54618535964772E-05	 .00949193750852866	 .000206942608858895
 5	 13529	 1E-05	 .0136070492852987	 .461483772059861
 2	 13630	 1E-05	 .0292046098526604	 .694974830686467
 5	 13776	 .0501971880290955	-.000441157082448958	 .994629631337591
 5	 13817	 1E-05	 .0104340522062018	 .170973712592572
 2	 13868	 1E-05	 .013220095884337	 .329861976482503
 5	 13988	 .0467075677813865	 .00891021341697717	 .884324877684062
 2	 14056	 .0454089955975829	 .00533450371536641	 .9041648365065
 5	 14142	 .00294963467620152	 .012747882459068	 .0258904846395777
 5	 14203	 1E-05	 .0402848058455757	 .00707090052013659
 3	 14207	 .0178387335369146	 .0947598039235356	 .028003407205334
 2	 14266	 .00371598789918586	 .00573216809532821	 .256274293743642
 3	 14345	 .00460510632635285	 .00334553016834369	 .888919272394556
 5	 14403	 .00243742728886248	 .0241388920661987	 .00384151662617771
 2	 14478	 1E-05	 .0345393044658667	 .105443489240772
 1	 14525	 .0108190193258446	 .00538660351961018	 .983529556576476
 3	 14538	 .0106273650411114	 .043686167110379	 .0528578291780704
 5	 14786	 1E-05	 .077561098710656	 .234739171391194
 5	 14862	 .00887073401575666	 .00826998824924848	 .316492624093351
 4	 14902	 1E-05	 .00554443375553872	 .354135838926594
 5	 14989	 .00669029512373239	 .013899077153777	 .405243952258386
 2	 15004	 1.39649864420673	 .003136450566215	 .845617092717486
 4	 15036	 .00628356219315461	 .00280607564129351	 .703386949685108
 2	 15063	 .140766183918443	 .0576654326108489	 .844752032487718
 1	 15142	 .00323853042349801	 .00890782570975197	 .175418635050421
 2	 15164	 1E-05	 .0422559007207956	 .50993638218871
 5	 15221	 .00554938112373258	 .0118682132914162	 .142315121533114
 1	 15246	 .0061993261976746	 .00449160838909568	 .988177073835016
 5	 15297	 .00124584531006604	 .00874826111356862	 .00461535821335102
 5	 15328	 1E-05	 .172747381237699	 .112651540095716
 4	 15435	 1E-05	 .00566329760883271	 .197000451873222
 5	 15449	 .132530332945037	 .0276425019418009	 .963513969515332
 1	 15456	 .873900708968224	 .0387968757834875	 .860455184047033
 4	 15468	 1E-05	 .0032506069295389	 .123683254202348
 1	 15497	 .00155756266928907	 .0184325611483224	 .0329998506068058
 2	 15501	 1E-05	 .0742226875175718	 .0183931404889833
 2	 15644	 1E-05	 .013663902733222	 .00516529127478471
 1	 15674	 .191638586054554	 .0957161251399215	 .941956127009803
 5	 15693	 .780261524402091	 .0609158093670197	 .955119829414868
 5	 15743	 .00935518877271863	 .0107098486344756	 .829512651151788
 1	 15847	 1.20852733812446	-.00755356399659025	 .993195572882094
 2	 15948	 1E-05	 .0172367768353799	 .243640762676178
 5	 15960	 .0354286765702758	 .0404868860218149	 .46369805847449
 1	 15972	 .326785105013656	 .116637247798382	 .748310112574084
 4	 15975	 1E-05	 .00473903568773237	 .0014588958925621
 5	 15997	 .0740757150905159	 .0272189342854382	 .876876786772801
 2	 16092	 1E-05	 .0491047642910571	 .0492730109695741
 2	 16150	 .100648513531379	 .0426078854378419	 .702477348370545
 3	 16215	 .0149432536375408	 .0296721871561445	 .119839322568102
 5	 16261	 1E-05	 .122289459507239	 .827082038334792
 3	 16355	 .0288817425249527	 .0476960251665371	 .895876439741607
 5	 16410	 1E-05	 .0812475359692552	 .123011696865952
